Year;Month_En;Month_Ru;Month_Num;Day_En;Day_Ru;Day;Holiday
2018;April;Апрель;4;Su;Вс;1;y
2018;April;Апрель;4;Mo;Пн;2;n
2018;April;Апрель;4;Tu;Вт;3;n
2018;April;Апрель;4;We;Ср;4;n
2018;April;Апрель;4;Th;Чт;5;n
2018;April;Апрель;4;Fr;Пт;6;n
2018;April;Апрель;4;Sa;Сб;7;y
2018;April;Апрель;4;Su;Вс;8;y
2018;April;Апрель;4;Mo;Пн;9;n
2018;April;Апрель;4;Tu;Вт;10;n
2018;April;Апрель;4;We;Ср;11;n
2018;April;Апрель;4;Th;Чт;12;n
2018;April;Апрель;4;Fr;Пт;13;n
2018;April;Апрель;4;Sa;Сб;14;y
2018;April;Апрель;4;Su;Вс;15;y
2018;April;Апрель;4;Mo;Пн;16;n
2018;April;Апрель;4;Tu;Вт;17;n
2018;April;Апрель;4;We;Ср;18;n
2018;April;Апрель;4;Th;Чт;19;n
2018;April;Апрель;4;Fr;Пт;20;n
2018;April;Апрель;4;Sa;Сб;21;y
2018;April;Апрель;4;Su;Вс;22;y
2018;April;Апрель;4;Mo;Пн;23;n
2018;April;Апрель;4;Tu;Вт;24;n
2018;April;Апрель;4;We;Ср;25;n
2018;April;Апрель;4;Th;Чт;26;n
2018;April;Апрель;4;Fr;Пт;27;n
2018;April;Апрель;4;Sa;Сб;28;n
2018;April;Апрель;4;Su;Вс;29;y
2018;April;Апрель;4;Mo;Пн;30;y
2018;April;Апрель;4;none;none;31;none
2018;May;Май;5;Tu;Вт;1;y
2018;May;Май;5;We;Ср;2;y
2018;May;Май;5;Th;Чт;3;n
2018;May;Май;5;Fr;Пт;4;n
2018;May;Май;5;Sa;Сб;5;y
2018;May;Май;5;Su;Вс;6;y
2018;May;Май;5;Mo;Пн;7;n
2018;May;Май;5;Tu;Вт;8;n
2018;May;Май;5;We;Ср;9;y
2018;May;Май;5;Th;Чт;10;n
2018;May;Май;5;Fr;Пт;11;n
2018;May;Май;5;Sa;Сб;12;y
2018;May;Май;5;Su;Вс;13;y
2018;May;Май;5;Mo;Пн;14;n
2018;May;Май;5;Tu;Вт;15;n
2018;May;Май;5;We;Ср;16;n
2018;May;Май;5;Th;Чт;17;n
2018;May;Май;5;Fr;Пт;18;n
2018;May;Май;5;Sa;Сб;19;y
2018;May;Май;5;Su;Вс;20;y
2018;May;Май;5;Mo;Пн;21;n
2018;May;Май;5;Tu;Вт;22;n
2018;May;Май;5;We;Ср;23;n
2018;May;Май;5;Th;Чт;24;n
2018;May;Май;5;Fr;Пт;25;n
2018;May;Май;5;Sa;Сб;26;y
2018;May;Май;5;Su;Вс;27;y
2018;May;Май;5;Mo;Пн;28;n
2018;May;Май;5;Tu;Вт;29;n
2018;May;Май;5;We;Ср;30;n
2018;May;Май;5;Th;Чт;31;n
2018;June;Июнь;6;Fr;Пт;1;n
2018;June;Июнь;6;Sa;Сб;2;y
2018;June;Июнь;6;Su;Вс;3;y
2018;June;Июнь;6;Mo;Пн;4;n
2018;June;Июнь;6;Tu;Вт;5;n
2018;June;Июнь;6;We;Ср;6;n
2018;June;Июнь;6;Th;Чт;7;n
2018;June;Июнь;6;Fr;Пт;8;n
2018;June;Июнь;6;Sa;Сб;9;n
2018;June;Июнь;6;Su;Вс;10;y
2018;June;Июнь;6;Mo;Пн;11;y
2018;June;Июнь;6;Tu;Вт;12;y
2018;June;Июнь;6;We;Ср;13;n
2018;June;Июнь;6;Th;Чт;14;n
2018;June;Июнь;6;Fr;Пт;15;n
2018;June;Июнь;6;Sa;Сб;16;y
2018;June;Июнь;6;Su;Вс;17;y
2018;June;Июнь;6;Mo;Пн;18;n
2018;June;Июнь;6;Tu;Вт;19;n
2018;June;Июнь;6;We;Ср;20;n
2018;June;Июнь;6;Th;Чт;21;n
2018;June;Июнь;6;Fr;Пт;22;n
2018;June;Июнь;6;Sa;Сб;23;y
2018;June;Июнь;6;Su;Вс;24;y
2018;June;Июнь;6;Mo;Пн;25;n
2018;June;Июнь;6;Tu;Вт;26;n
2018;June;Июнь;6;We;Ср;27;n
2018;June;Июнь;6;Th;Чт;28;n
2018;June;Июнь;6;Fr;Пт;29;n
2018;June;Июнь;6;Sa;Сб;30;y
2018;June;Июнь;6;none;none;31;none
2018;Jule;Июль;7;Su;Вс;1;y
2018;Jule;Июль;7;Mo;Пн;2;n
2018;Jule;Июль;7;Tu;Вт;3;n
2018;Jule;Июль;7;We;Ср;4;n
2018;Jule;Июль;7;Th;Чт;5;n
2018;Jule;Июль;7;Fr;Пт;6;n
2018;Jule;Июль;7;Sa;Сб;7;y
2018;Jule;Июль;7;Su;Вс;8;y
2018;Jule;Июль;7;Mo;Пн;9;n
2018;Jule;Июль;7;Tu;Вт;10;n
2018;Jule;Июль;7;We;Ср;11;n
2018;Jule;Июль;7;Th;Чт;12;n
2018;Jule;Июль;7;Fr;Пт;13;n
2018;Jule;Июль;7;Sa;Сб;14;y
2018;Jule;Июль;7;Su;Вс;15;y
2018;Jule;Июль;7;Mo;Пн;16;n
2018;Jule;Июль;7;Tu;Вт;17;n
2018;Jule;Июль;7;We;Ср;18;n
2018;Jule;Июль;7;Th;Чт;19;n
2018;Jule;Июль;7;Fr;Пт;20;n
2018;Jule;Июль;7;Sa;Сб;21;y
2018;Jule;Июль;7;Su;Вс;22;y
2018;Jule;Июль;7;Mo;Пн;23;n
2018;Jule;Июль;7;Tu;Вт;24;n
2018;Jule;Июль;7;We;Ср;25;n
2018;Jule;Июль;7;Th;Чт;26;n
2018;Jule;Июль;7;Fr;Пт;27;n
2018;Jule;Июль;7;Sa;Сб;28;y
2018;Jule;Июль;7;Su;Вс;29;y
2018;Jule;Июль;7;Mo;Пн;30;n
2018;Jule;Июль;7;Tu;Вт;31;n
2018;August;Август;8;We;Ср;1;n
2018;August;Август;8;Th;Чт;2;n
2018;August;Август;8;Fr;Пт;3;n
2018;August;Август;8;Sa;Сб;4;y
2018;August;Август;8;Su;Вс;5;y
2018;August;Август;8;Mo;Пн;6;n
2018;August;Август;8;Tu;Вт;7;n
2018;August;Август;8;We;Ср;8;n
2018;August;Август;8;Th;Чт;9;n
2018;August;Август;8;Fr;Пт;10;n
2018;August;Август;8;Sa;Сб;11;y
2018;August;Август;8;Su;Вс;12;y
2018;August;Август;8;Mo;Пн;13;n
2018;August;Август;8;Tu;Вт;14;n
2018;August;Август;8;We;Ср;15;n
2018;August;Август;8;Th;Чт;16;n
2018;August;Август;8;Fr;Пт;17;n
2018;August;Август;8;Sa;Сб;18;y
2018;August;Август;8;Su;Вс;19;y
2018;August;Август;8;Mo;Пн;20;n
2018;August;Август;8;Tu;Вт;21;n
2018;August;Август;8;We;Ср;22;n
2018;August;Август;8;Th;Чт;23;n
2018;August;Август;8;Fr;Пт;24;n
2018;August;Август;8;Sa;Сб;25;y
2018;August;Август;8;Su;Вс;26;y
2018;August;Август;8;Mo;Пн;27;n
2018;August;Август;8;Tu;Вт;28;n
2018;August;Август;8;We;Ср;29;n
2018;August;Август;8;Th;Чт;30;n
2018;August;Август;8;Fr;Пт;31;n
2018;September;Сентябрь;9;Sa;Сб;1;y
2018;September;Сентябрь;9;Su;Вс;2;y
2018;September;Сентябрь;9;Mo;Пн;3;n
2018;September;Сентябрь;9;Tu;Вт;4;n
2018;September;Сентябрь;9;We;Ср;5;n
2018;September;Сентябрь;9;Th;Чт;6;n
2018;September;Сентябрь;9;Fr;Пт;7;n
2018;September;Сентябрь;9;Sa;Сб;8;y
2018;September;Сентябрь;9;Su;Вс;9;y
2018;September;Сентябрь;9;Mo;Пн;10;n
2018;September;Сентябрь;9;Tu;Вт;11;n
2018;September;Сентябрь;9;We;Ср;12;n
2018;September;Сентябрь;9;Th;Чт;13;n
2018;September;Сентябрь;9;Fr;Пт;14;n
2018;September;Сентябрь;9;Sa;Сб;15;y
2018;September;Сентябрь;9;Su;Вс;16;y
2018;September;Сентябрь;9;Mo;Пн;17;n
2018;September;Сентябрь;9;Tu;Вт;18;n
2018;September;Сентябрь;9;We;Ср;19;n
2018;September;Сентябрь;9;Th;Чт;20;n
2018;September;Сентябрь;9;Fr;Пт;21;n
2018;September;Сентябрь;9;Sa;Сб;22;y
2018;September;Сентябрь;9;Su;Вс;23;y
2018;September;Сентябрь;9;Mo;Пн;24;n
2018;September;Сентябрь;9;Tu;Вт;25;n
2018;September;Сентябрь;9;We;Ср;26;n
2018;September;Сентябрь;9;Th;Чт;27;n
2018;September;Сентябрь;9;Fr;Пт;28;n
2018;September;Сентябрь;9;Sa;Сб;29;y
2018;September;Сентябрь;9;Su;Вс;30;y
2018;September;Сентябрь;9;none;none;31;none
2018;October;Октябрь;10;Mo;Пн;1;n
2018;October;Октябрь;10;Tu;Вт;2;n
2018;October;Октябрь;10;We;Ср;3;n
2018;October;Октябрь;10;Th;Чт;4;n
2018;October;Октябрь;10;Fr;Пт;5;n
2018;October;Октябрь;10;Sa;Сб;6;y
2018;October;Октябрь;10;Su;Вс;7;y
2018;October;Октябрь;10;Mo;Пн;8;n
2018;October;Октябрь;10;Tu;Вт;9;n
2018;October;Октябрь;10;We;Ср;10;n
2018;October;Октябрь;10;Th;Чт;11;n
2018;October;Октябрь;10;Fr;Пт;12;n
2018;October;Октябрь;10;Sa;Сб;13;y
2018;October;Октябрь;10;Su;Вс;14;y
2018;October;Октябрь;10;Mo;Пн;15;n
2018;October;Октябрь;10;Tu;Вт;16;n
2018;October;Октябрь;10;We;Ср;17;n
2018;October;Октябрь;10;Th;Чт;18;n
2018;October;Октябрь;10;Fr;Пт;19;n
2018;October;Октябрь;10;Sa;Сб;20;y
2018;October;Октябрь;10;Su;Вс;21;y
2018;October;Октябрь;10;Mo;Пн;22;n
2018;October;Октябрь;10;Tu;Вт;23;n
2018;October;Октябрь;10;We;Ср;24;n
2018;October;Октябрь;10;Th;Чт;25;n
2018;October;Октябрь;10;Fr;Пт;26;n
2018;October;Октябрь;10;Sa;Сб;27;y
2018;October;Октябрь;10;Su;Вс;28;y
2018;October;Октябрь;10;Mo;Пн;29;n
2018;October;Октябрь;10;Tu;Вт;30;n
2018;October;Октябрь;10;We;Ср;31;n
2018;November;Ноябрь;11;Th;Чт;1;n
2018;November;Ноябрь;11;Fr;Пт;2;n
2018;November;Ноябрь;11;Sa;Сб;3;y
2018;November;Ноябрь;11;Su;Вс;4;y
2018;November;Ноябрь;11;Mo;Пн;5;n
2018;November;Ноябрь;11;Tu;Вт;6;n
2018;November;Ноябрь;11;We;Ср;7;n
2018;November;Ноябрь;11;Th;Чт;8;n
2018;November;Ноябрь;11;Fr;Пт;9;n
2018;November;Ноябрь;11;Sa;Сб;10;y
2018;November;Ноябрь;11;Su;Вс;11;y
2018;November;Ноябрь;11;Mo;Пн;12;n
2018;November;Ноябрь;11;Tu;Вт;13;n
2018;November;Ноябрь;11;We;Ср;14;n
2018;November;Ноябрь;11;Th;Чт;15;n
2018;November;Ноябрь;11;Fr;Пт;16;n
2018;November;Ноябрь;11;Sa;Сб;17;y
2018;November;Ноябрь;11;Su;Вс;18;y
2018;November;Ноябрь;11;Mo;Пн;19;n
2018;November;Ноябрь;11;Tu;Вт;20;n
2018;November;Ноябрь;11;We;Ср;21;n
2018;November;Ноябрь;11;Th;Чт;22;n
2018;November;Ноябрь;11;Fr;Пт;23;n
2018;November;Ноябрь;11;Sa;Сб;24;y
2018;November;Ноябрь;11;Su;Вс;25;y
2018;November;Ноябрь;11;Mo;Пн;26;n
2018;November;Ноябрь;11;Tu;Вт;27;n
2018;November;Ноябрь;11;We;Ср;28;n
2018;November;Ноябрь;11;Th;Чт;29;n
2018;November;Ноябрь;11;Fr;Пт;30;n
2018;November;Ноябрь;11;none;none;31;none
2018;Desember;Декабрь;12;Sa;Сб;1;y
2018;Desember;Декабрь;12;Su;Вс;2;y
2018;Desember;Декабрь;12;Mo;Пн;3;n
2018;Desember;Декабрь;12;Tu;Вт;4;n
2018;Desember;Декабрь;12;We;Ср;5;n
2018;Desember;Декабрь;12;Th;Чт;6;n
2018;Desember;Декабрь;12;Fr;Пт;7;n
2018;Desember;Декабрь;12;Sa;Сб;8;y
2018;Desember;Декабрь;12;Su;Вс;9;y
2018;Desember;Декабрь;12;Mo;Пн;10;n
2018;Desember;Декабрь;12;Tu;Вт;11;n
2018;Desember;Декабрь;12;We;Ср;12;n
2018;Desember;Декабрь;12;Th;Чт;13;n
2018;Desember;Декабрь;12;Fr;Пт;14;n
2018;Desember;Декабрь;12;Sa;Сб;15;y
2018;Desember;Декабрь;12;Su;Вс;16;y
2018;Desember;Декабрь;12;Mo;Пн;17;n
2018;Desember;Декабрь;12;Tu;Вт;18;n
2018;Desember;Декабрь;12;We;Ср;19;n
2018;Desember;Декабрь;12;Th;Чт;20;n
2018;Desember;Декабрь;12;Fr;Пт;21;n
2018;Desember;Декабрь;12;Sa;Сб;22;y
2018;Desember;Декабрь;12;Su;Вс;23;y
2018;Desember;Декабрь;12;Mo;Пн;24;n
2018;Desember;Декабрь;12;Tu;Вт;25;n
2018;Desember;Декабрь;12;We;Ср;26;n
2018;Desember;Декабрь;12;Th;Чт;27;n
2018;Desember;Декабрь;12;Fr;Пт;28;n
2018;Desember;Декабрь;12;Sa;Сб;29;y
2018;Desember;Декабрь;12;Su;Вс;30;y
2018;Desember;Декабрь;12;Mo;Пн;31;n
2019;January;Январь;1;Tu;Вт;1;y
2019;January;Январь;1;We;Ср;2;y
2019;January;Январь;1;Th;Чт;3;y
2019;January;Январь;1;Fr;Пт;4;y
2019;January;Январь;1;Sa;Сб;5;y
2019;January;Январь;1;Su;Вс;6;y
2019;January;Январь;1;Mo;Пн;7;y
2019;January;Январь;1;Tu;Вт;8;y
2019;January;Январь;1;We;Ср;9;y
2019;January;Январь;1;Th;Чт;10;y
2019;January;Январь;1;Fr;Пт;11;y
2019;January;Январь;1;Sa;Сб;12;y
2019;January;Январь;1;Su;Вс;13;y
2019;January;Январь;1;Mo;Пн;14;n
2019;January;Январь;1;Tu;Вт;15;n
2019;January;Январь;1;We;Ср;16;n
2019;January;Январь;1;Th;Чт;17;n
2019;January;Январь;1;Fr;Пт;18;n
2019;January;Январь;1;Sa;Сб;19;y
2019;January;Январь;1;Su;Вс;20;y
2019;January;Январь;1;Mo;Пн;21;n
2019;January;Январь;1;Tu;Вт;22;n
2019;January;Январь;1;We;Ср;23;n
2019;January;Январь;1;Th;Чт;24;n
2019;January;Январь;1;Fr;Пт;25;n
2019;January;Январь;1;Sa;Сб;26;y
2019;January;Январь;1;Su;Вс;27;y
2019;January;Январь;1;Mo;Пн;28;n
2019;January;Январь;1;Tu;Вт;29;n
2019;January;Январь;1;We;Ср;30;n
2019;January;Январь;1;Th;Чт;31;n
